"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"467","HDFSTA","EQ","HDFC LIFE INSURANCE COM LTD",0.01,1,"","",0,10,"INE795G01014",775.65,497.05,775.65,307,"","","",0,0,0,608.45,497.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCLIFE"
"4671","MONISP","EQ","JSW ISPAT SPECIAL PRODUCTS LTD",0.01,1,"","",0,10,"INE743C01021",45.4,22.15,3291750,8,"","","",0,0,0,27.2,18.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JSWISPL"
"4683","EIDTEL","EQ","EIDER INFOTECH LIMITED",0.01,1,"","",0,10,"INE210B01015",28,4,830,4,"","","",0,0,0,8.5,5.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","EIDERTELE"
"4684","SONBLW","EQ","SONA BLW PRECISION FORGINGS",0.01,1,"","",0,10,"INE073K01018",839.9,295,839.9,295,"","","",0,0,0,656.85,437.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SONACOMS"
"4692","RELCAP","BE","RELIANCE CAPITAL LIMITED",0.01,1,"","",0,10,"INE013A01015",30.65,12.05,2924.3,3.7,"","","",0,0,0,12.65,11.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RELCAPITAL"
"4693","SHYMET","EQ","SHYAM METALICS AND ENERGY LTD",0.01,1,"","",0,10,"INE810G01011",461.15,273.1,461.15,273.1,"","","",0,0,0,305.9,250.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHYAMMETL"
"471","OSWGRE","EQ","OSWAL GREENTECH LIMITED",0.01,1,"","",0,10,"INE143A01010",36.4,19.5,101.25,3.15,"","","",0,0,0,25.35,16.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BINDALAGRO"
"4717","GAIL","EQ","GAIL (INDIA) LIMITED",0.01,1,"","",0,10,"INE129A01019",173.5,125.2,199.7,6.48,"","","",0,0,0,144.25,118.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GAIL"
"4732","SKMEGG","EQ","SKM EGG PRODUCTS EXPORTS (INDI",0.01,1,"","",0,10,"INE411D01015",99.5,51.35,225,0.15,"","","",0,0,0,62.25,41.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SKMEGGPROD"
"474","3MIND","EQ","3M INDIA LIMITED",0.01,1,"","",0,10,"INE470A01017",27800,17273,31000,126,"","","",0,0,0,23513,15675.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","3MINDIA"
"4743","SYNCHE","BE","SYNTHETICS AND CHEMICALS",0.01,1,"","",0,10,"INE024A01012",8,2.05,50,2.05,"","","",0,0,0,3.6,2.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SYNTHCHEM"
"4745","BANIND","EQ","BANK OF INDIA",0.01,1,"","",0,10,"INE084A01016",82,40.4,589,8.8,"","","",0,0,0,49.25,32.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BANKINDIA"
